Load,D,I_AVG,I_RMS,V_MAX_REV,P_LOSS
Starting,4,15.68,16.66,344.2,12.82
No Load,18,1.034,3.843,344.9,0.8421
Kettle Load,32,3.234,9.039,346.5,2.669
Rated Load,51.3,7.7,17.38,349.6,6.462
